exp,arch,seed,mu_seed,sigma0,T,beta,sigma_inf,n_blocks,inner_depth,inner_width,d_model,n_heads,ff_mult,dropout,relmse,train_sec,mu_box,d,K,steps,batch_size,lr,eval_n,eval_batch,teacher_steps,score_chunk
exp_flow_map_transformer,transformer,0.0,0.0,0.001,1.0,5.0,1.0,1.0,2.0,128.0,128.0,4.0,4.0,0.0,0.07079868522624792,3209.018945455551,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,0.0,0.0,0.001,1.0,5.0,1.0,2.0,2.0,128.0,128.0,4.0,4.0,0.0,0.07091307482520114,3559.3386619091034,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,0.0,0.0,0.001,1.0,5.0,1.0,4.0,2.0,128.0,128.0,4.0,4.0,0.0,0.06581845603095171,4237.187427520752,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,0.0,0.0,0.001,1.0,5.0,1.0,8.0,2.0,128.0,128.0,4.0,4.0,0.0,0.025952059722255,5711.777344703674,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,0.0,0.0,0.001,1.0,5.0,1.0,16.0,2.0,128.0,128.0,4.0,4.0,0.0,0.022710545073373417,8619.173037052155,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,1.0,0.0,0.001,1.0,5.0,1.0,1.0,2.0,128.0,128.0,4.0,4.0,0.0,0.07151122071591018,3208.5610473155975,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,1.0,0.0,0.001,1.0,5.0,1.0,2.0,2.0,128.0,128.0,4.0,4.0,0.0,0.0715782069613731,3549.4238924980164,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,1.0,0.0,0.001,1.0,5.0,1.0,4.0,2.0,128.0,128.0,4.0,4.0,0.0,0.0677899539150124,4271.66472363472,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,1.0,0.0,0.001,1.0,5.0,1.0,8.0,2.0,128.0,128.0,4.0,4.0,0.0,0.029202187930751838,5702.820212841034,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,1.0,0.0,0.001,1.0,5.0,1.0,16.0,2.0,128.0,128.0,4.0,4.0,0.0,0.02801968989932299,8608.473820447922,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,2.0,0.0,0.001,1.0,5.0,1.0,1.0,2.0,128.0,128.0,4.0,4.0,0.0,0.07127331000502435,3236.3451392650604,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,2.0,0.0,0.001,1.0,5.0,1.0,2.0,2.0,128.0,128.0,4.0,4.0,0.0,0.0681412055087182,3580.8843545913696,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,2.0,0.0,0.001,1.0,5.0,1.0,4.0,2.0,128.0,128.0,4.0,4.0,0.0,0.06852223300863317,4235.165338039398,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,2.0,0.0,0.001,1.0,5.0,1.0,8.0,2.0,128.0,128.0,4.0,4.0,0.0,0.06508045726016891,5714.156567573547,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,2.0,0.0,0.001,1.0,5.0,1.0,16.0,2.0,128.0,128.0,4.0,4.0,0.0,0.025751343322896265,8616.212792396545,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,3.0,0.0,0.001,1.0,5.0,1.0,1.0,2.0,128.0,128.0,4.0,4.0,0.0,0.07147524710455952,3198.291750907898,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,3.0,0.0,0.001,1.0,5.0,1.0,2.0,2.0,128.0,128.0,4.0,4.0,0.0,0.07135615971705636,3578.1830763816833,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,3.0,0.0,0.001,1.0,5.0,1.0,4.0,2.0,128.0,128.0,4.0,4.0,0.0,0.06644782776178576,4288.435043096542,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,3.0,0.0,0.001,1.0,5.0,1.0,8.0,2.0,128.0,128.0,4.0,4.0,0.0,0.06017226726848664,5659.411582708359,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,3.0,0.0,0.001,1.0,5.0,1.0,16.0,2.0,128.0,128.0,4.0,4.0,0.0,0.02924510111979022,8625.71216583252,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,4.0,0.0,0.001,1.0,5.0,1.0,1.0,2.0,128.0,128.0,4.0,4.0,0.0,0.07132460997182738,3229.7896099090576,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,4.0,0.0,0.001,1.0,5.0,1.0,2.0,2.0,128.0,128.0,4.0,4.0,0.0,0.06914243173699133,3588.4722414016724,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,4.0,0.0,0.001,1.0,5.0,1.0,4.0,2.0,128.0,128.0,4.0,4.0,0.0,0.06671302964555159,4255.486145973206,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,4.0,0.0,0.001,1.0,5.0,1.0,8.0,2.0,128.0,128.0,4.0,4.0,0.0,0.03094679748264533,5732.949105024338,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,4.0,0.0,0.001,1.0,5.0,1.0,16.0,2.0,128.0,128.0,4.0,4.0,0.0,0.06971182403957138,8582.630709648132,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,5.0,0.0,0.001,1.0,5.0,1.0,1.0,2.0,128.0,128.0,4.0,4.0,0.0,0.07124694323649879,3172.2914781570435,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,5.0,0.0,0.001,1.0,5.0,1.0,2.0,2.0,128.0,128.0,4.0,4.0,0.0,0.06790556786511623,3505.0798172950745,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,5.0,0.0,0.001,1.0,5.0,1.0,4.0,2.0,128.0,128.0,4.0,4.0,0.0,0.06709509685103031,4198.588222980499,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,5.0,0.0,0.001,1.0,5.0,1.0,8.0,2.0,128.0,128.0,4.0,4.0,0.0,0.06631375164787247,5639.381772518158,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,5.0,0.0,0.001,1.0,5.0,1.0,16.0,2.0,128.0,128.0,4.0,4.0,0.0,0.02357487930769598,8545.50165605545,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,6.0,0.0,0.001,1.0,5.0,1.0,1.0,2.0,128.0,128.0,4.0,4.0,0.0,0.07127295235416424,3156.3939208984375,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,6.0,0.0,0.001,1.0,5.0,1.0,2.0,2.0,128.0,128.0,4.0,4.0,0.0,0.07149720321143091,3497.9463353157043,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,6.0,0.0,0.001,1.0,5.0,1.0,4.0,2.0,128.0,128.0,4.0,4.0,0.0,0.06752643480675,4191.098937034607,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,6.0,0.0,0.001,1.0,5.0,1.0,8.0,2.0,128.0,128.0,4.0,4.0,0.0,0.05999988429165472,5632.586824178696,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,6.0,0.0,0.001,1.0,5.0,1.0,16.0,2.0,128.0,128.0,4.0,4.0,0.0,0.02904384049494377,8534.903519630432,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,7.0,0.0,0.001,1.0,5.0,1.0,1.0,2.0,128.0,128.0,4.0,4.0,0.0,0.07125972408537691,3169.282056093216,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,7.0,0.0,0.001,1.0,5.0,1.0,2.0,2.0,128.0,128.0,4.0,4.0,0.0,0.0712682529771324,3507.0095567703247,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,7.0,0.0,0.001,1.0,5.0,1.0,4.0,2.0,128.0,128.0,4.0,4.0,0.0,0.06711558935248571,4198.917494058609,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,7.0,0.0,0.001,1.0,5.0,1.0,8.0,2.0,128.0,128.0,4.0,4.0,0.0,0.03284550853142973,5640.648627996445,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,7.0,0.0,0.001,1.0,5.0,1.0,16.0,2.0,128.0,128.0,4.0,4.0,0.0,0.026932478101948026,8548.847341060638,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,8.0,0.0,0.001,1.0,5.0,1.0,1.0,2.0,128.0,128.0,4.0,4.0,0.0,0.0711857698111848,3168.576280593872,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,8.0,0.0,0.001,1.0,5.0,1.0,2.0,2.0,128.0,128.0,4.0,4.0,0.0,0.07104917496383004,3504.4450738430023,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,8.0,0.0,0.001,1.0,5.0,1.0,4.0,2.0,128.0,128.0,4.0,4.0,0.0,0.06618000547696815,4197.176317214966,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,8.0,0.0,0.001,1.0,5.0,1.0,8.0,2.0,128.0,128.0,4.0,4.0,0.0,0.03344899969616709,5642.110600471497,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,8.0,0.0,0.001,1.0,5.0,1.0,16.0,2.0,128.0,128.0,4.0,4.0,0.0,0.024867329875082264,8570.663633346558,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,9.0,0.0,0.001,1.0,5.0,1.0,1.0,2.0,128.0,128.0,4.0,4.0,0.0,0.06860536140401692,3188.9979786872864,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,9.0,0.0,0.001,1.0,5.0,1.0,2.0,2.0,128.0,128.0,4.0,4.0,0.0,0.0712014235735992,3508.5595359802246,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,9.0,0.0,0.001,1.0,5.0,1.0,4.0,2.0,128.0,128.0,4.0,4.0,0.0,0.07119176416521729,4197.902041435242,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,9.0,0.0,0.001,1.0,5.0,1.0,8.0,2.0,128.0,128.0,4.0,4.0,0.0,0.06598237362244667,5632.59380531311,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
exp_flow_map_transformer,transformer,9.0,0.0,0.001,1.0,5.0,1.0,16.0,2.0,128.0,128.0,4.0,4.0,0.0,0.022834982378782415,8544.924736261368,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,100.0,0.0
